,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,ärd,0.851,lånetransaktion,0.836,fordringsanspråk,0.689,fordringsanspråk,0.666,fordringsanspråk,0.667
1,skvldige,0.845,sammanflyta,0.834,tvistemål,0.689,twistige,0.658,twistige,0.66
2,kustbevakning,0.841,hwarp8,0.831,försvarsorganisation,0.687,jäfsanmärkningar,0.648,jäfsanmärkningar,0.646
3,sjg,0.841,krafvel,0.83,beskattningsfråga,0.682,ackordsförslag,0.646,ackordsförslag,0.64
4,högförräderi,0.836,pröf,0.829,förvaltningsfråga,0.682,tvistemål,0.634,tvistemål,0.636
5,åga,0.834,älstillige,0.823,äktenskapsskilnad,0.68,förvaltningsfråga,0.63,förvaltningsfråga,0.632
6,hwarp8,0.834,fälldt,0.822,konkurslagcns,0.679,konkursdom,0.63,godemäns,0.629
7,bcgifwit,0.833,kittslighet,0.82,angelägenbeter,0.676,ackordsanbud,0.625,konkursdom,0.629
8,afbräck,0.831,masian,0.82,ackordsförslag,0.671,godemäns,0.624,ackordsanbud,0.627
9,underläten,0.829,afgifier,0.819,förlikningsförslag,0.669,konkurssaken,0.62,konkurssaken,0.625
10,talle,0.829,afsagd,0.819,återvinning,0.668,återvinning,0.618,återvinning,0.622
11,liska,0.829,kineserne,0.818,anhängiggörande,0.667,twistiga,0.616,twistiga,0.621
12,hnru,0.828,misskredit,0.818,statsintresse,0.666,förvaltningsarfvode,0.609,förvaltningsarfvode,0.617
13,fientlighet,0.827,liuru,0.817,twistiga,0.666,utsökning,0.609,förlikningsanbud,0.613
14,sterbbuset,0.827,beivaka,0.816,rättsvidrig,0.666,förlikningsanbud,0.607,kuratelsarvode,0.611
15,50m,0.827,wälia,0.816,skattefråga,0.665,kuratelsarvode,0.605,utsökning,0.61
16,återställdt,0.826,värmapparat,0.815,organisationsfråga,0.664,konkursutredning,0.599,konkursutredning,0.606
17,lädant,0.824,upphofsmän,0.814,kurhessiska,0.664,anhängiggörande,0.597,kvistig,0.601
18,allidna,0.824,räntegaranti,0.814,nätnda,0.662,ersättningsfråga,0.593,ersättningsfråga,0.599
19,indrifwa,0.823,flatter,0.813,angelågenheter,0.661,bevakningshandling,0.589,anhängiggörande,0.599
20,ansäge,0.823,saima,0.812,garnäs,0.659,kvistig,0.589,redovisningsräkning,0.596
21,betjeningen,0.822,tilställa,0.812,kongressbeslut,0.658,redovisningsräkning,0.586,bevakningshandling,0.59
22,förstberörde,0.822,hodges,0.812,dansktysk,0.658,vexelmål,0.584,motbevis,0.589
23,succession,0.822,anslagstid,0.811,styrelseverk,0.656,motbevis,0.58,konsulatsfrågan,0.588
24,skeppsfolk,0.822,tilfallen,0.81,lagfråga,0.654,godemännens,0.579,godemännens,0.588
25,vanart,0.822,bössskott,0.81,rättsförhållande,0.653,konsulatsfrågan,0.578,vexelmål,0.582
26,bau,0.822,skattemedel,0.81,jernvägsanläggningarne,0.653,återförvisande,0.576,sjörättsmål,0.578
27,wäcktes,0.821,principlös,0.809,riksvigtig,0.652,sjörättsmål,0.575,återförvisande,0.577
28,insinna,0.821,allidna,0.809,syslem,0.652,bandlingarne,0.573,trågor,0.576
29,ersättningsanspråk,0.821,mahans,0.808,twistige,0.652,ackordsförflag,0.572,ackordsförflag,0.575
30,indrifva,0.821,preventiv,0.808,kasserande,0.652,sysslomansarvode,0.57,rättstvist,0.574
31,lerje,0.82,qvarblifvande,0.808,svårlöst,0.651,förebragta,0.569,hänskötos,0.574
32,förehafwande,0.82,sjörätt,0.808,rörando,0.65,bouppteckningsed,0.568,sysslomansarvode,0.572
33,carlsruhe,0.819,oförsåld,0.808,fiågan,0.65,förvaltningsarvode,0.566,konsulatbeslutet,0.572
34,mirza,0.819,fondera,0.807,förelöpa,0.649,trågor,0.564,bandlingarne,0.572
35,försigtighetsmätt,0.819,civilrätt,0.807,precisera,0.649,hänskötos,0.563,boskilnadsansökan,0.57
36,ffrift,0.819,skvldige,0.807,befordringsfråga,0.648,boskilnadsansökan,0.562,förvaltningsarvode,0.569
37,obehörigen,0.819,frågavarande,0.807,afgö,0.648,konsulatbeslutet,0.561,lagenlighet,0.568
38,estland,0.819,srsn,0.807,ofvanantydda,0.648,åtalsrätt,0.56,häradsborna,0.568
39,förmas,0.819,statsangelägenhet,0.807,sviklig,0.647,lagenlighet,0.56,verkställighetsåtgärd,0.567
40,slädparti,0.818,styrkande,0.807,förelåge,0.647,häradsborna,0.557,förebragta,0.566
41,billiga,0.817,montenegrinsk,0.806,skjutsningsbesvär,0.646,återvisa,0.556,bouppteckningsed,0.564
42,ernående,0.817,jordarbete,0.806,tvistepunkt,0.646,kärandernes,0.556,konknrsmassan,0.564
43,anflagit,0.817,skalfa,0.806,lastemottagaren,0.645,förtullningshänseende,0.556,kommandomål,0.561
44,galer,0.816,ideernas,0.805,meningsfliljaktighet,0.645,verkställighetsåtgärd,0.555,förtullningshänseende,0.56
45,lanta,0.816,tåsom,0.805,fredspolitik,0.644,kommandomål,0.554,åtalsrätt,0.559
46,eap,0.816,militärperson,0.805,lagstiftningsfråga,0.643,ersättningsyrkande,0.553,kärandernes,0.558
47,arbetsrum,0.816,agendom,0.805,domstolsväsende,0.643,konknrsmassan,0.553,återvisa,0.558
48,cronholm,0.816,ods,0.804,lagstiftningsväg,0.643,redogörelseräkning,0.552,afskrefs,0.557
49,lofl,0.816,kolerasjukdomens,0.804,skjutsfrågan,0.642,fullföljd,0.551,svårlöst,0.555
50,packad,0.815,nödvärn,0.804,utförbarhet,0.641,organisationsfråga,0.551,redogörelseräkning,0.555
51,anleda,0.815,gillia,0.804,grundskattefrågan,0.641,godemans,0.551,beskattningsfråga,0.554
52,qwarstadna,0.815,upi,0.804,lotsfrågan,0.641,qvittade,0.55,äktenskapsfråga,0.554
53,smälek,0.815,tos,0.804,pensionsväsende,0.641,rättstvist,0.549,utdelningsförflag,0.554
